,subject,topic_label
72,product details inquiry from amazon customer hunter affleck,Customer Inquiries
73,fba inbound shipment problem (fba17yrc8qn0),Disputes and Cases
74,walmart marketplace partner performance notification    [ ref:!00d610zktc.!5008y02oisht:ref ],Delivery Status and Failures
75,nan,Miscellaneous/Unknown
76,nan,Miscellaneous/Unknown
77,nan,Miscellaneous/Unknown
78,product details inquiry from amazon customer sharron miller,Customer Inquiries
79,order cancelation request for order id: 112-6883304-5744224,Order Requests and Tickets
80,"product import complete for storeindya""""",Invoices and Support
81,product details inquiry from amazon customer david testa,Customer Inquiries
82,"action required - sold, ship now: btlr-ren-4239140 butler hewett solid wood bench",Order Requests and Tickets
83,regarding the new products added to our catalogue - steve silver  / you are exclusively allowed to sell on amazon***,Customer Inquiries
84,your order 2964395 #bo3148230,Order Requests and Tickets
85,nan,Miscellaneous/Unknown
86,you have been paid: redmon nylon purple folding camping chair #12612,Customer Inquiries
87,you have been paid: drive medical ssp118fa-sf silver sport 1 folding transport wheelchair #36073,Customer Inquiries
88,inquiry from amazon customer hanna storm,Customer Inquiries
89,"you have made a sale: round folding bar height table for parties and commercial events, white #m-45341",System Notifications
90,nan,Miscellaneous/Unknown
91,product details inquiry from amazon customer liz zalich,Customer Inquiries
92,you have made a sale: tayama noodle cooker & water kettle 1 liter #37392,System Notifications
93,"virventures, inc. tracking file 05-14-2024",Customer Inquiries
94,inquiry from amazon customer meliss savin,Customer Inquiries
95,new sign-in to your account.,New Orders and Shipments
96,buybox items details report is ready.,Customer Inquiries
97,your mercari verification code is 208389.,Promotions and Offers
98,trade account,Customer Messages
99,consulta sobre el envã­o del cliente de amazon martã­n alfonso vã¡zquez ortega,Delivery Status and Failures
100,"melrose international  credit memo# 1007343,   has been issued.  virventures inc (drop ship).",Disputes and Cases
101,item sopt/opt override processing complete,Invoices and Support
102,offer expired for springfield marine 1640403 spring-lock fixed height post - 15-1/2&quot;,Promotions and Offers
103,your e-mail to masako watanabe,Miscellaneous/Unknown
104,your e-mail to jane ulman,Miscellaneous/Unknown
105,order manifest for 05/14/2024 12:01:00,Order Requests and Tickets
106,your e-mail to mark bochra,Delivery Status and Failures
107,melrose international orders on hold.  virventures inc (drop ship).   drop ship,Disputes and Cases
108,un cliente estã¡ a la espera de una respuesta sobre 8bitdo arcade stick para xbox...,Delivery Status and Failures
109,1 new walmart marketplace orders received,New Orders and Shipments
110,youâ€™ve got a chat message for cushions for pallet - sand polyester outdoor seating and indoor sofa pad #90603.,Customer Messages
111,inquiry from amazon customer kelly(order: 112-4457362-0559410),Customer Inquiries
112,fba inbound shipment problem (fba17x86l26h),Disputes and Cases
113,solicitud de factura del cliente de amazon sergio islas(pedido: 702-4688654-9333856),Delivery Status and Failures
114,6 new walmart marketplace orders received,New Orders and Shipments
115,inquiry from amazon customer john sanoske(order: 113-6528685-1661064),Customer Inquiries
116,inquiry from amazon customer julie l. bartz,Customer Inquiries
117,sears marketplace notification - urgent message regarding the status of your products,Delivery Status and Failures
118,40% off savings! plant,New Orders and Shipments
119,"hcr0011 has sent a question about item #134954421463, ending on 27-may-2024 13:20:24 ist - remedy intensive skin therapy skin repair cream",Delivery Status and Failures
120,ar reco report - amazon us (vir) - 14 may 2024,Customer Inquiries
121,6 refund(s) issued,Customer Messages
122,4 new walmart marketplace returns initiated,New Orders and Shipments
123,absoluteusa.com | we are having a raffle! - win! our free giveaway mr dj usa 3,Promotions and Offers
124,order cancelation request for order id: 112-8455221-2332230,Order Requests and Tickets
125,"accept or counter $28.00 for round folding bar height table for parties and commercial events, white #m-45341, ends in 18 hours.",System Notifications
126,"accept or counter $15.00 for tayama noodle cooker & water kettle 1 liter #37392, ends in 18 hours.",System Notifications
127,9 return(s) delivered,New Orders and Shipments
128,beauty by imagination - final warning (i2o),Customer Messages
129,"message from walmart.com customer, ref id: 6fed08d01f17494dba7da02346827ab4",Customer Messages
130,"youâ€™ve got a chat message for jofran asbury park dining table set, counter height, white-vir-b07p6d88y2.",Customer Messages
131,urgent |â° orders pending acceptance cbt â°|,Customer Inquiries
132,sears order notification: po 2371858,Delivery Status and Failures
133,delivery status notification (failure),Delivery Status and Failures
134,take action: one or more of your offers are not eligible to be a featured offer (buy box),Promotions and Offers
135,your walmart.com product(s) has been removed due to policy violations,Customer Inquiries
136,delivery status notification (failure),Delivery Status and Failures
137,"accept or counter $15.75 for viski angled stemmed cocktail glasses, set of 2 #37236, ends in 6 hours.",System Notifications
138,on sale: your weekly round-up,System Notifications
139,re: 0[virventures#virf53b3015],Customer Inquiries
140,re: 0[virventures#vir66039600],Customer Inquiries
141,delivery status notification (failure),Delivery Status and Failures
142,ticket received - 36627,Order Requests and Tickets
143,details about item: smit4159-cpzi4s sent a message about 1999-2002 chevy silverado 1500 /2000-2006 chevy suburban /2000-2006 chevy tah... #134954419669,Delivery Status and Failures
144,new customer feedback for order #1793528034468553,New Orders and Shipments
145,new customer feedback for order #1792786246322276,New Orders and Shipments
146,inquiry from amazon customer cathy avery(order: 112-9265576-6399418),Customer Inquiries
147,fedex customer survey - email reference number: 78879271,New Orders and Shipments
148,ticket has been created for order id #thp8900110497773241-2,Order Requests and Tickets
149,fedex customer survey - email reference number: 78879254,New Orders and Shipments
150,fedex customer survey - email reference number: 78879261,New Orders and Shipments
151,fedex customer survey - email reference number: 78879270,New Orders and Shipments
152,delivery status notification (failure),Delivery Status and Failures
153,your returns label is ready,New Orders and Shipments
154,ticket has been created for order id #mpo-1241175313035271403-83-a,Order Requests and Tickets
155,ready for pick up in houston now,New Orders and Shipments
156,order shipped and charged,Order Requests and Tickets
157,5 new walmart marketplace orders received,New Orders and Shipments
158,graham-field customer service,Customer Inquiries
159,orders on hold,Order Requests and Tickets
160,you have been rated: drive medical ssp118fa-sf silver sport 1 folding transport wheelchair #36073,Customer Inquiries
161,your fedex claims status has been updated,Customer Inquiries
162,big savings + early access to our newest ami course!,New Orders and Shipments
163,re: [external] fedex claim update: #:c-148175528,Customer Inquiries
164,fedex customer survey - email reference number: 78876568,New Orders and Shipments
165,re: [external] fedex claim update: c-148168562,Customer Inquiries
166,fedex customer survey - email reference number: 78875891,New Orders and Shipments
167,please see below,Disputes and Cases
168,fedex customer survey - email reference number: 78876337,New Orders and Shipments
169,"jerome-dad-bro has sent a question about item #134954421186, ending on 27-may-2024 13:20:22 ist - viper spinning bee soft tip darts - compact & powerful dart set for electroni...",Delivery Status and Failures
170,new blog post: plastic fantastic - caring for polymer guns,New Orders and Shipments
171,adidas must-have companion polos,Disputes and Cases
172,"youâ€™ve received an offer for round folding bar height table for parties and commercial events, white #m-45341.",System Notifications
173,fedex customer survey - email reference number: 78873309,New Orders and Shipments
174,youâ€™ve received an offer for tayama noodle cooker & water kettle 1 liter #37392.,Customer Messages
175,please see below,Disputes and Cases
176,fedex customer survey - email reference number: 78873205,New Orders and Shipments
177,re: [external] claim update - c-148178615,Customer Inquiries
178,cupcakeing sent a message about ergode intersperse bench - gold ivory #134677574451,Delivery Status and Failures
179,11 new walmart marketplace orders received,New Orders and Shipments
180,amazon has shipped your sold item(s),Order Requests and Tickets
181,your e-mail to hunter affleck,Customer Messages
182,re: 0[virventures#virad7c6052],Customer Inquiries
183,8 new walmart marketplace orders received,New Orders and Shipments
184,unleash your business potential: unsecured working capital from 1west,System Notifications
185,action needed regarding your sears marketplace performance,Delivery Status and Failures
186,order shipped to your customer,Order Requests and Tickets
187,credit memo from aps,System Notifications
188,re: [external] tracking# 273817135808 [virventures#9c9baaad],Customer Inquiries
189,rma #    89422      item# ej782-1,Disputes and Cases
190,new order received,New Orders and Shipments
191,"ahmealmanh_0 sent a message about wheelchairs: 12 wide kidz pediatric wheelchair #364698129533""",Delivery Status and Failures
192,inquiry from amazon customer crystal roussel,Customer Inquiries
193,[request received] ticket id: (404611) - your email was received by kingston brass support,Order Requests and Tickets
194,ticket has been created for order id #vv-us-cdb-37240,Order Requests and Tickets
195,your e-mail to alexandra rawls,Miscellaneous/Unknown
196,"accept or counter $15.75 for viski angled stemmed cocktail glasses, set of 2 #37236, ends in 12 hours.",System Notifications
197,[new feature] threads is coming to metricool,New Orders and Shipments
198,le creuset from $13 | handbag blowout | $8 power bank,Customer Messages
199,get organized with the houzz pro schedule tool,Customer Messages
200,invoice 175066 from lakeland mills llc,Invoices and Support
201,"ra 8386 from ev rider, llc",Invoices and Support
202,return policy inquiry from amazon customer jane ulman,Customer Inquiries
203,ticket has been created for order id #vv-us-cdb-37248,Order Requests and Tickets
204,order cancelation request for order id: 113-6226780-1246651,Order Requests and Tickets
205,bull outdoor products umap update,Promotions and Offers
206,could this help?,System Notifications
207,sales order 12817 from hansa creation usa (vir ventures po# hans-622),Invoices and Support
208,outcome for payment dispute 5006245374,Disputes and Cases
209,re: [external] tracking id - 683956484791[virventures#vir6a0ce3ce],Customer Inquiries
210,"lindseykochanski has sent a question about item #364698130782, ending on 25-may-2024 17:37:52 ist - pants: ocean ave women is stretch wide waistband scrub pants with cargo pocket...",Delivery Status and Failures
211,new + bestselling = you should really open this email,New Orders and Shipments
212,mazal distribution updated catalog 05/13/2024 great deals,Promotions and Offers
213,"nandansons wholesale specials price list for may 13, 2024",Invoices and Support
214,3 new walmart marketplace orders received,New Orders and Shipments
215,sla shipments,New Orders and Shipments
216,sla pending confirmation,Customer Inquiries
217,re: 0[virventures#vir99e09cd5],Customer Inquiries
218,acknowledgement from kas rugs inc,Invoices and Support
219,credit card,System Notifications
220,order cancel,Order Requests and Tickets
221,action required: please review your flagged orders,Order Requests and Tickets
222,"a customer is waiting for an answer on ashley hearth dvag11l 11,000 btu...",Customer Messages
223,product details inquiry from amazon customer mark bochra(order: 113-1629025-1937054),Customer Inquiries
224,product details inquiry from amazon customer hunter affleck,Customer Inquiries
225,welcome to schneider!,Promotions and Offers
226,youâ€™ve got a chat message for cushions for pallet - sand polyester outdoor seating and indoor sofa pad #90603.,Customer Messages
227,new arrivals!,New Orders and Shipments
228,new vendor for onboarding -homebrite,New Orders and Shipments
229,"still interested in benzara upt-272547 single drawer, mango wood, entryway console table desk, gray?",Order Requests and Tickets
230,return request,Order Requests and Tickets
231,nan,Miscellaneous/Unknown
232,product details inquiry from amazon customer masako watanabe,Customer Inquiries
233,your weekly performance summary,System Notifications
234,your email to amazon.com marketplace,New Orders and Shipments
235,do not forget to review your list of eligible items for the repricer incentives program this week!,Promotions and Offers
236,weird way to get $0.01 per click google traffic,Customer Messages
237,your e-mail to peter enners,Customer Inquiries
238,walmart refund data,Customer Messages
239,quick training : explore zoho assist in depth,Delivery Status and Failures
240,detected login from a new location,New Orders and Shipments
241,item_price_parity_warning_report_for_36562_seller,New Orders and Shipments
242,new brands added to our catalogue - madrona burke and wallace & bay,New Orders and Shipments
243,nan,Miscellaneous/Unknown
244,nan,Miscellaneous/Unknown
245,product details inquiry from amazon customer alexandra rawls,Customer Inquiries
246,item sopt/opt override processing complete,Invoices and Support
247,your dispute case #06930028 is closed,Disputes and Cases
248,"shipping: 3747morris sent a message about underpads: ultrasorbs advanced premium underpads, 350 lb. weight capacity, 30... #364698130400",Delivery Status and Failures
249,the shipping rates increase in may//from china/southeast asia to usa/canada// lois from chinatrans//li.mited offer,Promotions and Offers
250,automatic reply: urgent cancellation - po #emry-39307,Delivery Status and Failures
251,maximize your walmart sales with our expert guidance,System Notifications
252,buybox items details report is ready.,Customer Inquiries
253,sears marketplace - warning: canceled orders,Order Requests and Tickets
254,your fedex claim has been denied,Customer Inquiries
255,you cancelled a pending order,Order Requests and Tickets
256,nan,Miscellaneous/Unknown
257,nan,Miscellaneous/Unknown
258,your e-mail to katsutoshi shiramizu,Miscellaneous/Unknown
259,fedex has received your email - email reference number: sfc433752,New Orders and Shipments
260,fedex has received your email - email reference number: sfc433662,New Orders and Shipments
261,your e-mail to kathy pianini,Customer Inquiries
262,order manifest for 05/13/2024 12:01:00,Order Requests and Tickets
263,"mike, it is not too late!",Delivery Status and Failures
264,product details inquiry from amazon customer katsutoshi shiramizu,Customer Inquiries
265,walmart seller support resolved case # 06928853. please provide your feedback.,Disputes and Cases
266,sears marketplace notification - urgent message regarding the status of your products,Delivery Status and Failures
267,claim resolution update: our sincere apologies for the delay.,Promotions and Offers
268,"youâ€™ve received an offer for viski angled stemmed cocktail glasses, set of 2 #37236.",Customer Messages
269,these savings are hot!,New Orders and Shipments
270,fba inbound shipment problem (fba17y417921),Disputes and Cases
271,nan,Miscellaneous/Unknown
272,amazon has shipped your sold item(s),Order Requests and Tickets
273,for you: 2003 toyota tacoma xtracab â· limited pickup 2d 6 ft and 2 other items,Delivery Status and Failures
274,a customer is waiting for an answer on kamado joe kj-hdp classic joe...,Customer Inquiries
275,nan,Miscellaneous/Unknown
276,delivery status notification (failure),Delivery Status and Failures
277,ar reco report - amazon us (vir) - 13 may 2024,Customer Inquiries
278,5 refund(s) issued,Customer Messages
279,3 new walmart marketplace returns initiated,New Orders and Shipments
280,5 new walmart marketplace orders received,New Orders and Shipments
281,nan,Miscellaneous/Unknown
282,[bambini layette] bam29302 package in transit,Miscellaneous/Unknown
283,order cancelation request for order id: 114-7333686-0277831,Order Requests and Tickets
284,take action: one or more of your offers are not eligible to be a featured offer (buy box),Promotions and Offers
285,nan,Miscellaneous/Unknown
286,delivery status notification (failure),Delivery Status and Failures
287,nan,Miscellaneous/Unknown
288,nan,Miscellaneous/Unknown
289,nan,Miscellaneous/Unknown
290,here is what we are eyeing from kate spade is major (rare) sale,System Notifications
291,2 new walmart marketplace orders received,New Orders and Shipments
292,"message from walmart.com customer:  initiate a return, 200011895546088",New Orders and Shipments
293,"ahmealmanh_0 sent a message about wheelchairs: 12 wide kidz pediatric wheelchair #364698129533""",Delivery Status and Failures
294,a customer is waiting for an answer on fanmats nhl colorado avalanche...,Customer Messages
295,ecommerce seo service,Invoices and Support
296,inquiry from amazon customer kathy pianini,Customer Inquiries
297,sears order notification: po 2370168,Delivery Status and Failures
298,6 new walmart marketplace orders received,New Orders and Shipments
299,the press | how to overcome 8 challenges of producing decorated apparel for musicians,Delivery Status and Failures
300,"details about item: superbrush1948 sent a message about wheelchairs: reclining wheelchair with desk-length arms, nylon, 20 wide #364698129541""",Customer Inquiries
301,$42 paint sprayer | new balance from $14 | $1.30 succulents,New Orders and Shipments
302,the family that gardens together *grows* together,System Notifications
303,"nandansons wholesale specials price list for may 12, 2024",Invoices and Support
304,api key expiring soon,Customer Messages
305,mothers day sale coupon,System Notifications
306,action required: please review your flagged orders,Order Requests and Tickets
307,glam rings & party things,Customer Messages
308,please respond to your chat about national tree company pre lit classic penguin decoration #85547.,Promotions and Offers
309,"a customer is waiting for an answer on ashley hearth dvag11l 11,000 btu...",Customer Messages
310,delivery status notification (failure),Delivery Status and Failures
311,please create the rma : rma : vv-in-139266,Disputes and Cases
312,walmart refund data,Customer Messages
313,product details inquiry from amazon customer peter enners,Customer Inquiries
314,your e-mail to laura,Customer Inquiries
315,your e-mail to martha a griffin,Miscellaneous/Unknown
316,your e-mail to kristi,Miscellaneous/Unknown
317,your e-mail to maryann,Miscellaneous/Unknown
318,your e-mail to lorraine pruiksma,Miscellaneous/Unknown
319,"this. is. epic: get up to 60% off summer floral, dã©cor and more at the big summer sale.",System Notifications
320,5 stylishly compact home bars | 15 lighting trends at the spring high point market,System Notifications
321,order manifest for 05/12/2024 12:01:00,Order Requests and Tickets
322,store performance summary,System Notifications
323,re: we have received your case 06928853    [ ref:!00d610zktc.!5008y02oeqgf:ref ],Customer Messages
324,claim resolution update: our sincere apologies for the delay.,Promotions and Offers
325,order cancelation request for order id: 111-3192678-9688204,Order Requests and Tickets
326,un cliente estã¡ a la espera de una respuesta sobre latin percussion guiros (lp307),Delivery Status and Failures
327,amazon has shipped your sold item(s),Order Requests and Tickets
328,nan,Miscellaneous/Unknown
329,"message from walmart.com customer:  cancel my order, 200011986089987",Customer Messages
330,your package has arrived: drive medical ssp118fa-sf silver sport 1 folding transport wheelchair #36073,Customer Inquiries
331,for you: 5 beds 3 baths - house and 2 other items,Customer Messages
332,"a customer is waiting for an answer on astro tools 78314 14-piece 3/8...""",Customer Messages
333,sears marketplace notification - urgent message regarding the status of your products,Delivery Status and Failures
334,a customer is waiting for an answer on astro pneumatic 7874 pulley...,Customer Messages
335,ar reco report - amazon us (vir) - 12 may 2024,Customer Inquiries
336,8 new walmart marketplace returns initiated,New Orders and Shipments
337,"message from walmart.com customer, ref id: bb04860ef77a4cefa0f79de6e996d511",Customer Messages
338,5 refund(s) issued,Customer Messages
339,928sport sent a message about qualtech-37/64 reduced shank hss drill bit,Delivery Status and Failures
340,nan,Miscellaneous/Unknown
341,nan,Miscellaneous/Unknown
342,nan,Miscellaneous/Unknown
343,nan,Miscellaneous/Unknown
344,nan,Miscellaneous/Unknown
345,request received by nearly natural customer support,Customer Messages
346,eblast-storewide coupon mothers day sale,System Notifications
347,inquiry from amazon customer maryann,Customer Inquiries
348,nan,Miscellaneous/Unknown
349,take action: one or more of your offers are not eligible to be a featured offer (buy box),Promotions and Offers
350,how to opt out of father is day emails,New Orders and Shipments
351,"message from walmart.com customer, ref id: df62499ba1914119875aae430bc65901",Customer Messages
352,new order received,New Orders and Shipments
353,nan,Miscellaneous/Unknown
354,nan,Miscellaneous/Unknown
355,nan,Miscellaneous/Unknown
356,nan,Miscellaneous/Unknown
357,youâ€™ve got a chat message for national tree company pre lit classic penguin decoration #85547.,Promotions and Offers
358,[request received] ticket id: (404437) - your email was received by kingston brass support,Order Requests and Tickets
359,"3747morris sent a message about underpads: ultrasorbs advanced premium underpads, 350 lb. weight capacity, 30... #364698130400",Delivery Status and Failures
360,your package has arrived: wilson avp soft play volleyball - official size #m-27356,Miscellaneous/Unknown
361,order cancelation request for order id: 114-5447415-4477056,Order Requests and Tickets
362,you have made a sale: stainless steel kitchen prep and commercial work table with undershelf #86741,System Notifications
363,your e-mail to arnaud bellens,Miscellaneous/Unknown
364,nan,Miscellaneous/Unknown
365,delivery status notification (failure),Delivery Status and Failures
366,nan,Miscellaneous/Unknown
367,re: virventurein sent a message about toyota lexus scion 02-12 bluetooth adapter car kit interface #195972540981,Delivery Status and Failures
368,"accept or counter $31.50 for national tree company pre lit classic penguin decoration #85547, ends in 6 hours.",Promotions and Offers
369,5 new walmart marketplace orders received,New Orders and Shipments
370,rts refund for salesorder# 200011792028395,Customer Messages
371,6 new walmart marketplace orders received,New Orders and Shipments
372,leg avenue - weekly invoice report,System Notifications
373,your dispute case #06917202 is closed,Disputes and Cases
374,40% off live plants | birkenstocks under $100 | $44 pop-up canopy,Customer Messages
375,return policy inquiry from amazon customer lorraine pruiksma(order: 112-3220870-6513039),Customer Inquiries
376,"message from walmart.com customer, ref id: 62021d62e71e405c80db466fd081675f",Customer Messages
377,"accept or counter $18.00 for picture frame ledge shelves 23.6x3.5""x1.2"" - wall-mounted display ledges #76421",System Notifications
378,plant hydrosols,Customer Messages
379,4 new walmart marketplace orders received,New Orders and Shipments
380,"message from walmart.com customer:  initiate a return, 200011733297472",New Orders and Shipments
381,export your online purchases to a spreadsheet,Promotions and Offers
382,need more info for dispute case #06945697,Disputes and Cases
383,"nandansons wholesale specials price list for may 11, 2024",Invoices and Support
384,you wonâ€™t find these on amazon,Customer Inquiries
385,"please respond to your chat about vidaxl outdoor storage, deck box with lid, patio cabinet, storage chest #45937.",Customer Messages
386,action required: please review your flagged orders,Order Requests and Tickets
387,so kule,Miscellaneous/Unknown
388,delivery status notification (failure),Delivery Status and Failures
389,please respond to your chat about gigatent fully insulated interior cooler backpack #18214.,Customer Messages
390,please respond to your chat about cushions for pallet - sand polyester outdoor seating and indoor sofa pad #90603.,Customer Messages
391,demande de renseignements de la part du client amazon arnaud bellens(commande : 701-1118586-5291425),Delivery Status and Failures
392,walmart refund data,Customer Messages
393,your e-mail to lezlee ardan,Miscellaneous/Unknown
394,your e-mail to adam jankola,System Notifications
395,"donâ€™t worry, weâ€™ve got up to 60% off deals on momâ€™s gift (for tomorrow!)",Promotions and Offers
396,fwd: your recent order 385102856,Order Requests and Tickets
397,fwd: 385102856 viventures - delivery appointment needed,Customer Messages
398,1 new walmart marketplace orders received,New Orders and Shipments
399,"virventures, inc. tracking file 05-11-2024",Customer Inquiries
400,offer expired for &quot;ntt indycar series&quot; #15 graham rahal driver figure &quot;united rentals - rahal l...,Promotions and Offers
401,tammy-starr sent a message about tan unglazed ceramic bonsai pot - rectangle 10 x 7.825 x 3.125 #134845091246,Delivery Status and Failures
402,"message from walmart.com customer, ref id: cd8f701e2c484dafa525b1df3eaf9f65",Customer Messages
403,melrose international orders on hold.  virventures inc (drop ship).   drop ship,Disputes and Cases
404,claim resolution update: our sincere apologies for the delay.,Promotions and Offers
405,walmart marketplace partner performance notification    [ ref:!00d610zktc.!5008y02ofbec:ref ],Delivery Status and Failures
406,"accept or counter $18.00 for picture frame ledge shelves 23.6x3.5""x1.2"" - wall-mounted display ledges #76421",System Notifications
407,a customer is waiting for an answer on great day load-a-pup 14x20in...,Customer Messages
408,3 new walmart marketplace orders received,New Orders and Shipments
409,you have been rated: redmon nylon purple folding camping chair #12612,Customer Inquiries
410,re: star-sellerusa sent a message about 7698988 insulated wire strainer gallagher in-line strainer white (pack of 20) #134954420913,Delivery Status and Failures
411,how did we do?,New Orders and Shipments
412,"youâ€™ve got a chat message for vidaxl outdoor storage, deck box with lid, patio cabinet, storage chest #45937.",Customer Messages
413,for you: 2 beds 1 bath house and 2 other items,Customer Inquiries
414,"hcr0011 has sent a question about item #134954421463, ending on 27-may-2024 13:20:24 ist - remedy intensive skin therapy skin repair cream",Delivery Status and Failures
415,youâ€™ve received an offer for national tree company pre lit classic penguin decoration #85547.,Promotions and Offers
416,ar reco report - amazon us (vir) - 11 may 2024,Customer Inquiries
417,product customization request from amazon customer martha a griffin(order: 112-6441788-7328238),Customer Inquiries
418,9 new walmart marketplace returns initiated,New Orders and Shipments
419,5 refund(s) issued,Customer Messages
420,13 new walmart marketplace orders received,New Orders and Shipments
421,updated fake tracking number for amazon orders,Customer Inquiries
422,6 return(s) delivered,New Orders and Shipments
423,fdepot price list may 13th 2024,Invoices and Support
424,7 new walmart marketplace orders received,New Orders and Shipments
425,youâ€™ve got a chat message for cushions for pallet - sand polyester outdoor seating and indoor sofa pad #90603.,Customer Messages
426,order cancelation request for order id: 114-1673218-2442659,Order Requests and Tickets
427,your returns label is ready,New Orders and Shipments
428,fedex customer survey - sfc393004,New Orders and Shipments
429,delivery status notification (failure),Delivery Status and Failures
430,virventures tracking report from advanced graphics 05/10/2024,Customer Inquiries
431,walmart drop ship vendor newsletter | may 2024,New Orders and Shipments
432,graham-field customer service,Customer Inquiries
433,inquiry from amazon customer kristi,Customer Inquiries
434,"a customer is waiting for an answer on empire brass u-ywi800rsw 8...""",Customer Messages
435,product details inquiry from amazon customer lezlee ardan,Customer Inquiries
436,donâ€™t forget about your $4655.85 balance,Promotions and Offers
437,take action: one or more of your offers are not eligible to be a featured offer (buy box),Promotions and Offers
438,youâ€™ve got a chat message for gigatent fully insulated interior cooler backpack #18214.,Customer Messages
439,ticket has been created for order id #vv-us-cdb-37153,Order Requests and Tickets
440,"youâ€™ve received an offer for picture frame ledge shelves 23.6x3.5""x1.2"" - wall-mounted display ledges #76421.""",System Notifications
441,fw: re: 0[virventures#vir1a30081a],Customer Inquiries
442,order shipped to your customer,Order Requests and Tickets
443,inquiry from amazon customer laura,Customer Inquiries
